dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
7.5760850E-003  0.00000E+000
7.7442100E-003  0.00000E+000
7.9123350E-003  0.00000E+000
8.0804600E-003  0.00000E+000
8.2485850E-003  0.00000E+000
8.4167100E-003  0.00000E+000
8.5848350E-003  0.00000E+000
8.7529600E-003  0.00000E+000
8.9210850E-003  0.00000E+000
9.0892100E-003  0.00000E+000
9.2573350E-003  0.00000E+000
9.4254600E-003  0.00000E+000
9.5935850E-003  0.00000E+000
plot-profile-axial-velocity-at-z 0.00000 0
100
-7.0507900E-003  0.00000E+000
-6.8826650E-003  0.00000E+000
-6.7145400E-003  0.00000E+000
-6.5464150E-003  0.00000E+000
-6.3782900E-003  0.00000E+000
-6.2101650E-003  0.00000E+000
-6.0420400E-003  0.00000E+000
-5.8739150E-003  0.00000E+000
-5.7057900E-003  0.00000E+000
-5.5376650E-003  0.00000E+000
-5.3695400E-003  0.00000E+000
-5.2014150E-003  0.00000E+000
-5.0332900E-003  0.00000E+000
-4.8651650E-003  0.00000E+000
-4.6970400E-003  0.00000E+000
-4.5289150E-003  0.00000E+000
-4.3607900E-003  0.00000E+000
-4.1926650E-003  0.00000E+000
-4.0245400E-003  0.00000E+000
-3.8564150E-003  0.00000E+000
-3.6882900E-003  0.00000E+000
-3.5201650E-003  0.00000E+000
-3.3520400E-003  0.00000E+000
-3.1839150E-003  0.00000E+000
-3.0157900E-003  0.00000E+000
-2.8476650E-003  0.00000E+000
-2.6795400E-003  0.00000E+000
-2.5114150E-003  0.00000E+000
-2.3432900E-003  0.00000E+000
-2.1751650E-003  0.00000E+000
-2.0070400E-003  0.00000E+000
-1.8389150E-003  1.25749E-001
-1.6707900E-003  2.50419E-001
-1.5026650E-003  3.65332E-001
-1.3345400E-003  4.61002E-001
-1.1664150E-003  5.40174E-001
-9.9829000E-004  6.05964E-001
-8.3016500E-004  6.55397E-001
-6.6204000E-004  6.93247E-001
-4.9391500E-004  7.19219E-001
-3.2579000E-004  7.34206E-001
-1.5766500E-004  7.45341E-001
1.0460000E-005  7.49678E-001
1.7858500E-004  7.45535E-001
3.4671000E-004  7.38370E-001
5.1483500E-004  7.20008E-001
6.8296000E-004  6.91925E-001
8.5108500E-004  6.55653E-001
1.0192100E-003  6.06288E-001
1.1873350E-003  5.40917E-001
1.3554600E-003  4.65796E-001
1.5235850E-003  3.72270E-001
1.6917100E-003  2.60882E-001
1.8598350E-003  1.34905E-001
2.0279600E-003  0.00000E+000
2.1960850E-003  0.00000E+000
2.3642100E-003  0.00000E+000
2.5323350E-003  0.00000E+000
2.7004600E-003  0.00000E+000
2.8685850E-003  0.00000E+000
3.0367100E-003  0.00000E+000
3.2048350E-003  0.00000E+000
3.3729600E-003  0.00000E+000
3.5410850E-003  0.00000E+000
3.7092100E-003  0.00000E+000
3.8773350E-003  0.00000E+000
